year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
1971,Mid-year population, age 0 years, by sex,31400.0
1972,Mid-year population, age 0 years, by sex,31800.0
1973,Mid-year population, age 0 years, by sex,32200.0
1974,Mid-year population, age 0 years, by sex,32600.0
1975,Mid-year population, age 0 years, by sex,33000.0
1976,Mid-year population, age 0 years, by sex,33600.0
1977,Mid-year population, age 0 years, by sex,34200.0
1978,Mid-year population, age 0 years, by sex,34800.0
1979,Mid-year population, age 0 years, by sex,35400.0
1980,Mid-year population, age 0 years, by sex,36000.0
1981,Mid-year population, age 0 years, by sex,36200.0
1982,Mid-year population, age 0 years, by sex,36400.0
1983,Mid-year population, age 0 years, by sex,36600.0
1984,Mid-year population, age 0 years, by sex,36800.0
1985,Mid-year population, age 0 years, by sex,36700.0
1986,Mid-year population, age 0 years, by sex,37500.0
1987,Mid-year population, age 0 years, by sex,38300.0
1988,Mid-year population, age 0 years, by sex,39100.0
1989,Mid-year population, age 0 years, by sex,39600.0
1990,Mid-year population, age 0 years, by sex,38100.0
1991,Mid-year population, age 0 years, by sex,36800.0
1992,Mid-year population, age 0 years, by sex,34300.0
1993,Mid-year population, age 0 years, by sex,31400.0
1994,Mid-year population, age 0 years, by sex,33300.0
1995,Mid-year population, age 0 years, by sex,33200.0
1996,Mid-year population, age 0 years, by sex,29100.0
1997,Mid-year population, age 0 years, by sex,29800.0
1998,Mid-year population, age 0 years, by sex,29900.0
1999,Mid-year population, age 0 years, by sex,30100.0
2000,Mid-year population, age 0 years, by sex,26700.0
2001,Mid-year population, age 0 years, by sex,25030.0
2002,Mid-year population, age 0 years, by sex,25106.0
2003,Mid-year population, age 0 years, by sex,24275.0
2004,Mid-year population, age 0 years, by sex,23411.0
2005,Mid-year population, age 0 years, by sex,19182.0
2006,Mid-year population, age 0 years, by sex,17949.0
2007,Mid-year population, age 0 years, by sex,16862.0
2008,Mid-year population, age 0 years, by sex,16565.0
2009,Mid-year population, age 0 years, by sex,16589.0
2010,Mid-year population, age 0 years, by sex,16719.0
2011,Mid-year population, age 0 years, by sex,17238.0
2012,Mid-year population, age 0 years, by sex,17414.0
2013,Mid-year population, age 0 years, by sex,17031.0
2014,Mid-year population, age 0 years, by sex,16828.0
2015,Mid-year population, age 0 years, by sex,16087.0
2010,Mid-year population, age 0 years, by sex,316.0
2011,Mid-year population, age 0 years, by sex,307.0
2012,Mid-year population, age 0 years, by sex,293.0
2013,Mid-year population, age 0 years, by sex,275.0
2014,Mid-year population, age 0 years, by sex,265.0
2015,Mid-year population, age 0 years, by sex,264.0
2016,Mid-year population, age 0 years, by sex,235.0
2017,Mid-year population, age 0 years, by sex,208.5
2018,Mid-year population, age 0 years, by sex,183.0
2019,Mid-year population, age 0 years, by sex,170.0
2020,Mid-year population, age 0 years, by sex,173.5
1981,Mid-year population, age 0 years, by sex,34500.0
1982,Mid-year population, age 0 years, by sex,35500.0
1983,Mid-year population, age 0 years, by sex,37100.0
1984,Mid-year population, age 0 years, by sex,37662.0
1985,Mid-year population, age 0 years, by sex,38800.0
1986,Mid-year population, age 0 years, by sex,39000.0
1987,Mid-year population, age 0 years, by sex,38200.0
1988,Mid-year population, age 0 years, by sex,36900.0
1989,Mid-year population, age 0 years, by sex,36200.0
1990,Mid-year population, age 0 years, by sex,36700.0
1991,Mid-year population, age 0 years, by sex,37900.0
1992,Mid-year population, age 0 years, by sex,35700.0
1993,Mid-year population, age 0 years, by sex,31000.0
1994,Mid-year population, age 0 years, by sex,26100.0
1995,Mid-year population, age 0 years, by sex,23600.0
1996,Mid-year population, age 0 years, by sex,22700.0
1997,Mid-year population, age 0 years, by sex,21400.0
1998,Mid-year population, age 0 years, by sex,19200.0
1999,Mid-year population, age 0 years, by sex,17300.0
2000,Mid-year population, age 0 years, by sex,15400.0
2001,Mid-year population, age 0 years, by sex,15027.0
2002,Mid-year population, age 0 years, by sex,16332.0
2003,Mid-year population, age 0 years, by sex,15586.0
2004,Mid-year population, age 0 years, by sex,16724.0
2005,Mid-year population, age 0 years, by sex,17150.0
2006,Mid-year population, age 0 years, by sex,17225.0
2007,Mid-year population, age 0 years, by sex,17967.0
2008,Mid-year population, age 0 years, by sex,18732.0
2009,Mid-year population, age 0 years, by sex,19776.0
2012,Mid-year population, age 0 years, by sex,19513.0
2013,Mid-year population, age 0 years, by sex,19665.0
2014,Mid-year population, age 0 years, by sex,19884.0
2015,Mid-year population, age 0 years, by sex,19820.0
2016,Mid-year population, age 0 years, by sex,19261.0
2017,Mid-year population, age 0 years, by sex,18442.0
2018,Mid-year population, age 0 years, by sex,17538.0
2019,Mid-year population, age 0 years, by sex,17132.0
1950,Mid-year population, age 0 years, by sex,50600.0
1951,Mid-year population, age 0 years, by sex,48400.0
1952,Mid-year population, age 0 years, by sex,47800.0
1953,Mid-year population, age 0 years, by sex,48100.0
1954,Mid-year population, age 0 years, by sex,48500.0
1955,Mid-year population, age 0 years, by sex,50000.0
1956,Mid-year population, age 0 years, by sex,53100.0
1957,Mid-year population, age 0 years, by sex,55300.0
1958,Mid-year population, age 0 years, by sex,56200.0
1959,Mid-year population, age 0 years, by sex,57600.0
1960,Mid-year population, age 0 years, by sex,59000.0
1961,Mid-year population, age 0 years, by sex,60300.0
1962,Mid-year population, age 0 years, by sex,62800.0
1963,Mid-year population, age 0 years, by sex,64000.0
1964,Mid-year population, age 0 years, by sex,64300.0
1965,Mid-year population, age 0 years, by sex,63100.0
1966,Mid-year population, age 0 years, by sex,61800.0
1967,Mid-year population, age 0 years, by sex,61200.0
1968,Mid-year population, age 0 years, by sex,60400.0
1969,Mid-year population, age 0 years, by sex,59100.0
1970,Mid-year population, age 0 years, by sex,55800.0
1971,Mid-year population, age 0 years, by sex,52100.0
1972,Mid-year population, age 0 years, by sex,50600.0
1973,Mid-year population, age 0 years, by sex,48200.0
1974,Mid-year population, age 0 years, by sex,46700.0
1975,Mid-year population, age 0 years, by sex,46100.0
1976,Mid-year population, age 0 years, by sex,43700.0
1977,Mid-year population, age 0 years, by sex,41900.0
1978,Mid-year population, age 0 years, by sex,41500.0
1979,Mid-year population, age 0 years, by sex,41800.0
1980,Mid-year population, age 0 years, by sex,43000.0
1981,Mid-year population, age 0 years, by sex,45400.0
1982,Mid-year population, age 0 years, by sex,46070.0
1983,Mid-year population, age 0 years, by sex,45000.0
1984,Mid-year population, age 0 years, by sex,43602.0
1985,Mid-year population, age 0 years, by sex,42859.0
1986,Mid-year population, age 0 years, by sex,42282.0
1987,Mid-year population, age 0 years, by sex,42186.0
1988,Mid-year population, age 0 years, by sex,42336.0
1989,Mid-year population, age 0 years, by sex,42953.0
1990,Mid-year population, age 0 years, by sex,43700.0
1991,Mid-year population, age 0 years, by sex,44954.0
1992,Mid-year population, age 0 years, by sex,45910.0
1993,Mid-year population, age 0 years, by sex,46091.0
1994,Mid-year population, age 0 years, by sex,45426.0
1995,Mid-year population, age 0 years, by sex,43957.0
1996,Mid-year population, age 0 years, by sex,43228.0
1997,Mid-year population, age 0 years, by sex,42246.0
1998,Mid-year population, age 0 years, by sex,40509.0
1999,Mid-year population, age 0 years, by sex,39039.0
2000,Mid-year population, age 0 years, by sex,38310.0
2001,Mid-year population, age 0 years, by sex,37057.0
